gene_1|GeneMark.hmm|444_nt|+|1|444	InsB	99.3	147	1	0	1	441	21	167	9.6e-83	300.4
gene_15|GeneMark.hmm|312_nt|+|11719|12030	ParB	93.0	57	4	0	139	309	45	101	8.4e-25	107.5
gene_11|GeneMark.hmm|756_nt|+|6602|7357	repE_k_AJ851089	100.0	251	0	0	1	753	1	251	3e-145	508.8
gene_17|GeneMark.hmm|222_nt|+|12791|13012	TraC	98.6	73	1	0	1	219	1	73	1e-37	149.8
gene_18|GeneMark.hmm|435_nt|+|13026|13460	ParB	93.0	143	10	0	1	429	1	143	6.3e-71	261.2
gene_23|GeneMark.hmm|192_nt|+|15580|15771	ParB	100.0	63	0	0	1	189	1	63	3.7e-31	127.9
gene_19|GeneMark.hmm|771_nt|+|13505|14275	ParB	89.9	258	24	1	1	768	1	258	9.7e-131	460.7
gene_24|GeneMark.hmm|282_nt|-|15976|16257	ParB	89.7	39	4	0	5	121	20	58	8.8e-16	76.3
gene_22|GeneMark.hmm|423_nt|+|15161|15583	ParB	100.0	140	0	0	1	420	1	140	8.3e-76	277.3
gene_30|GeneMark.hmm|213_nt|+|18847|19059	TraC	97.1	70	2	0	1	210	118	187	2.1e-35	142.1
gene_31|GeneMark.hmm|165_nt|+|19059|19223	ParB	76.0	25	6	0	163	89	127	151	3.6e-06	43.5
gene_29|GeneMark.hmm|357_nt|+|18494|18850	TraC	94.9	98	5	0	1	294	1	98	2.3e-47	182.6
gene_14|GeneMark.hmm|903_nt|+|10820|11722	TraC	96.3	300	11	0	1	900	9	308	5e-179	621.3
gene_27|GeneMark.hmm|261_nt|-|16821|17081	ParB	100.0	70	0	0	261	52	7	76	2.5e-36	145.2
gene_36|GeneMark.hmm|135_nt|+|20864|20998	ParB	100.0	44	0	0	1	132	609	652	3.3e-23	100.9
gene_35|GeneMark.hmm|234_nt|+|20540|20773	ParB	97.4	77	2	0	1	231	1	77	2.5e-42	165.2
gene_46|GeneMark.hmm|135_nt|+|26371|26505	TraC	93.2	44	3	0	1	132	1	44	5e-19	87.0
gene_47|GeneMark.hmm|603_nt|-|26531|27133	BfpH	70.5	149	44	0	94	540	1	149	2.7e-59	223.0
gene_49|GeneMark.hmm|690_nt|+|28024|28713	TraJ	100.0	229	0	0	1	687	1	229	7.1e-133	467.6
gene_13|GeneMark.hmm|888_nt|+|9195|10082	ParB	100.0	295	0	0	1	885	29	323	1.1e-162	567.0
gene_52|GeneMark.hmm|312_nt|+|29620|29931	TraL	100.0	103	0	0	1	309	1	103	3e-59	221.9
gene_57|GeneMark.hmm|192_nt|+|33234|33425	TraC	80.3	61	12	0	1	183	3	63	6.3e-23	100.5
gene_58|GeneMark.hmm|252_nt|+|33437|33688	TrbG	100.0	83	0	0	1	249	1	83	1.3e-44	172.9
gene_53|GeneMark.hmm|567_nt|+|29953|30519	TraE	99.5	188	1	0	1	564	1	188	6.3e-103	367.9
gene_63|GeneMark.hmm|387_nt|+|37340|37726	TrbI	93.8	128	8	0	1	384	1	128	1.3e-64	240.0
gene_28|GeneMark.hmm|1341_nt|+|17106|18446	TraC	98.9	446	5	0	1	1338	8	453	3.9e-260	891.3
gene_54|GeneMark.hmm|729_nt|+|30506|31234	TraE	100.0	242	0	0	1	726	1	242	1.6e-135	476.5
gene_59|GeneMark.hmm|516_nt|+|33685|34200	TrbH	98.8	171	2	0	1	513	1	171	5.7e-95	341.3
gene_68|GeneMark.hmm|261_nt|+|41820|42080	TrbE	91.9	86	7	0	1	258	1	86	1.7e-39	156.0
gene_12|GeneMark.hmm|1176_nt|+|7936|9111	ParA	96.7	210	7	0	544	1173	9	218	8.4e-118	418.3
gene_70|GeneMark.hmm|105_nt|-|43021|43125	TrbA	91.2	34	3	0	104	3	65	98	2.4e-13	67.8
gene_64|GeneMark.hmm|633_nt|+|37723|38355	TrhW	100.0	210	0	0	1	630	1	210	4.8e-120	424.9
gene_74|GeneMark.hmm|315_nt|+|44383|44697	TrbJ	94.7	95	5	0	1	285	21	115	1.9e-45	176.0
gene_75|GeneMark.hmm|393_nt|+|44651|45043	TrbF	96.7	30	1	0	288	377	50	79	3.1e-13	67.8
gene_73|GeneMark.hmm|555_nt|+|43839|44393	TrbB	92.9	184	10	1	1	552	1	181	2.3e-97	349.4
gene_69|GeneMark.hmm|750_nt|+|42067|42816	TraF	75.7	247	60	0	7	747	4	250	9.8e-112	397.5
gene_79|GeneMark.hmm|732_nt|+|49745|50476	BfpH	98.8	243	3	0	1	729	1	243	8.3e-132	464.2
gene_45|GeneMark.hmm|822_nt|+|25413|26234	TraC	97.1	273	8	0	1	819	1	273	1.9e-156	546.2
gene_82|GeneMark.hmm|747_nt|+|58057|58803	TraI	97.2	248	7	0	1	744	1	248	2.2e-140	492.7
gene_84|GeneMark.hmm|213_nt|+|59552|59764	TraC	98.6	69	1	0	5	211	1	69	3.2e-36	144.8
gene_88|GeneMark.hmm|228_nt|-|63203|63430	InsA	97.0	33	1	0	127	225	1	33	5.3e-13	67.8
gene_93|GeneMark.hmm|120_nt|-|65556|65675	RepA	100.0	40	0	0	120	1	20	59	5.4e-20	90.1
gene_94|GeneMark.hmm|246_nt|-|65678|65923	RepA	100.0	81	0	0	245	3	61	141	1.1e-40	159.8
gene_104|GeneMark.hmm|504_nt|-|73434|73937	InsB	97.0	167	5	0	1	501	1	167	2.8e-94	339.0
gene_105|GeneMark.hmm|570_nt|+|74173|74742	TraI	97.8	184	4	0	16	567	13	196	1.1e-99	357.1
gene_109|GeneMark.hmm|141_nt|+|79524|79664	TraC	89.1	46	5	0	1	138	1	46	1.6e-20	92.0
gene_55|GeneMark.hmm|1428_nt|+|31234|32661	TrbI	100.0	475	0	0	1	1425	1	475	6.1e-280	957.2
gene_76|GeneMark.hmm|1374_nt|+|45030|46403	TraH	87.9	273	33	0	1	819	1	273	1.7e-138	487.3
gene_115|GeneMark.hmm|615_nt|-|84830|85444	TraI	89.3	28	3	0	2	85	6	33	1.1e-09	57.0
gene_131|GeneMark.hmm|486_nt|-|97900|98385	TraI	100.0	161	0	0	1	483	1	161	2.4e-87	315.8
gene_136|GeneMark.hmm|1380_nt|-|101988|103367	TraI	100.0	459	0	0	1	1377	1	459	3.5e-272	931.4
gene_137|GeneMark.hmm|528_nt|-|103471|103998	TraI	100.0	175	0	0	1	525	1	175	2.9e-102	365.5
gene_143|GeneMark.hmm|504_nt|+|108581|109084	InsB	100.0	167	0	0	1	501	1	167	1.9e-98	352.8
gene_149|GeneMark.hmm|504_nt|-|113566|114069	InsB	96.4	167	6	0	1	501	1	167	2.5e-95	342.4
gene_152|GeneMark.hmm|600_nt|-|116749|117348	aacA4_k_AJ744860	98.3	172	3	0	82	597	1	172	2.3e-95	342.8
gene_65|GeneMark.hmm|993_nt|+|38352|39344	TraD	98.8	330	4	0	1	990	1	330	1.7e-199	689.5
gene_154|GeneMark.hmm|273_nt|-|118492|118764	BfpH	80.0	80	13	1	1	240	1	77	6.8e-31	127.5
gene_156|GeneMark.hmm|348_nt|-|119725|120072	qacE_k_AJ698325	100.0	115	0	0	1	345	1	115	9.5e-62	230.3
gene_158|GeneMark.hmm|549_nt|-|121197|121745	dfr17_k_AY139588	100.0	157	0	0	76	546	1	157	2.7e-87	315.8
gene_170|GeneMark.hmm|909_nt|+|130359|131267	aacC2_k_S68058	100.0	286	0	0	49	906	1	286	4.4e-167	581.6
gene_157|GeneMark.hmm|789_nt|-|120278|121066	aadA4_k_AY138986	94.7	262	14	0	1	786	1	262	6.6e-143	501.1
gene_190|GeneMark.hmm|1170_nt|-|148427|149596	TraI	99.7	389	1	0	1	1167	1	389	1.8e-221	762.7
gene_194|GeneMark.hmm|171_nt|-|152267|152437	TraI	94.6	56	3	0	1	168	1	56	2.3e-24	105.1
gene_195|GeneMark.hmm|225_nt|+|152574|152798	TraI	91.7	36	3	0	223	116	94	129	9.1e-14	69.3
gene_198|GeneMark.hmm|177_nt|-|154025|154201	ParB	98.1	53	1	0	16	174	86	138	3.6e-25	107.8
gene_199|GeneMark.hmm|504_nt|-|154203|154706	InsB	97.6	167	4	0	1	501	1	167	3.3e-95	342.0
gene_213|GeneMark.hmm|504_nt|+|170728|171231	InsB	97.0	167	5	0	1	501	1	167	1.6e-94	339.7
gene_145|GeneMark.hmm|1206_nt|+|109963|111168	tetA_k_AJ851089	100.0	401	0	0	1	1203	1	401	2.1e-228	785.8
gene_77|GeneMark.hmm|2826_nt|+|46400|49225	TraG	89.1	935	100	1	1	2805	1	933	0	1664.4
gene_62|GeneMark.hmm|2628_nt|+|34716|37343	TrbE	91.5	874	74	0	1	2622	1	874	0	1622.4
gene_80|GeneMark.hmm|2190_nt|+|50728|52917	TraD	77.7	641	141	1	1	1923	1	639	0	1030.4
gene_81|GeneMark.hmm|5121_nt|+|52917|58037	TraI	91.7	1756	96	7	1	5118	1	1756	0	3092.8
